fecha,anio,mes,periodo,concepto_codigo,concepto_descripcion,concepto_nivel,subsector,valor_millones_pesos,fuente_archivo
2020-01-01,2020,1,mensual,VIII_RESULT_FINANCIERO_ANTES_FIGURAT,VIII) RESULT.FINANC.ANTES DE FIGURAT.(VI-VII),principal,tesoro_nacional,-63251.00000000003,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,VII_GASTOS_ANTES_FIGURAT,VII) GASTOS ANTES DE FIGURAT.(II+V),principal,tesoro_nacional,182466.2,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,VI_INGRESOS_ANTES_FIGURAT,VI) INGRESOS ANTES DE FIGURAT.(I+IV),principal,tesoro_nacional,119215.19999999998,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,V_GASTOS_CAPITAL,V) GASTOS DE CAPITAL,principal,tesoro_nacional,4247.5,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,XIII_GASTOS_DESPUES_FIGURAT,XIII) GASTOS DESPUES DE FIGURAT.,principal,tesoro_nacional,249305.10000000003,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,XII_GASTOS_PRIMARIOS_DESPUES_FIGURAT,XII) GASTOS PRIMARIOS DESPUES DE FIGURAT.,principal,tesoro_nacional,162385.00000000006,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,XIV_RESULTADO_PRIMARIO,XIV) SUPERAVIT PRIMARIO  (XI-XII),principal,tesoro_nacional,-42669.800000000076,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,XI_INGRESOS_DESPUES_FIGURAT,XI) INGRESOS DESPUES DE FIGURAT.,principal,tesoro_nacional,119715.19999999998,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,XV_RESULTADO_FINANCIERO,XV) RESULTADO FINANCIERO  (XI-XIII),principal,tesoro_nacional,-129589.90000000005,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,X_GASTOS_FIGURATIVOS,X) GASTOS FIGURATIVOS,principal,tesoro_nacional,66838.90000000001,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,III_RESULTADO_ECONOMICO,III) RESULT.ECON.: AHORRO/DESAHORRO (I-II),principal,total_adm_nacional,-75566.00000000001,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,II_GASTOS_CORRIENTES,II) GASTOS CORRIENTES,principal,total_adm_nacional,426475.70000000007,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,IV_RECURSOS_CAPITAL,IV) RECURSOS DE CAPITAL,principal,total_adm_nacional,2.9,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,IX_CONTRIBUCIONES_FIGURATIVAS,IX) CONTRIBUCIONES FIGURATIVAS,principal,total_adm_nacional,81609.4,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,I_INGRESOS_CORRIENTES,I) INGRESOS CORRIENTES,principal,total_adm_nacional,350909.69999999995,aif-enero2020.xlsx
